,District_Name,Total,risk_index
292,Nord-Ubangi:Bili,3,0.0007040600797934757
35,Haut-Katanga:Kilwa,3,0.0007040600797934757
388,Tanganika:Kalemie,3,0.0007040600797934757
350,SK Sud:Ruzizi,3,0.0007040600797934757
412,Tshilenge:Kasansa,3,0.0007040600797934757
442,Tshuapa:Djolu,3,0.0007040600797934757
387,Tanganika:Kabalo,3,0.0007040600797934757
273,Mongala:Yambuku,2,0.0004693733865289838
381,Sud-Ubangi:Libenge,2,0.0004693733865289838
222,Aru:Angumu,2,0.0004693733865289838
341,SK Ouest:Shabunda,2,0.0004693733865289838
346,SK Sud:Kimbi Lulenge,2,0.0004693733865289838
451,Tshuapa:Yalifafu,2,0.0004693733865289838
302,Nord-Ubangi:Yakoma,2,0.0004693733865289838
228,Maniema Nord:Lubutu,2,0.0004693733865289838
152,Kwilu:Yasa-Bonga,1,0.0002346866932644919
3,Equateur:Motumbe,1,0.0002346866932644919
499,Equateur:Bolomba,1,0.0002346866932644919
373,Sud-Ubangi:Bominenge,1,0.0002346866932644919
60,Kabinda:Kabinda,1,0.0002346866932644919
271,Mongala:Pimu,1,0.0002346866932644919
47,Haut-Lomami:Kabongo,1,0.0002346866932644919
44,Haut-Lomami:Butumba,1,0.0002346866932644919
41,Haut-Katanga:Sakania,1,0.0002346866932644919
301,Nord-Ubangi:Wasolo,1,0.0002346866932644919
426,Tshopo Lindi:Ubundu,1,0.0002346866932644919
404,Tshikapa:Kitangwa,1,0.0002346866932644919
319,SK Centre:Mubumbano,1,0.0002346866932644919
68,Kabinda:Ngandajika,1,0.0002346866932644919
415,Tshilenge:Tshilenge,1,0.0002346866932644919
61,Kabinda:Kalambayi Kabanga,1,0.0002346866932644919
133,Kwilu:Gungu,1,0.0002346866932644919
328,SK Nord:Kalehe,1,0.0002346866932644919
