ADI 165627
ALIMBONGO 227787
ANGUMU 168048
ARIWARA 206104
ARU 185456
AUNGBA 161978
BAMBO 156395
BAMBU-MINES 152322
BENI 395029
BIENA 122726
BINZA 190494
BIRAMBIZO 398438
BIRINGI 125472
BOGA 69412
BUNIA 274563
BUTEMBO 326616
DAMAS 119532
DRODRO 158491
FATAKI 131340
GETHY 191018
GOMA 260035
ITEBERO 183913
JIBA 140335
KALUNGUTA 206145
KAMANGO 109141
KAMBALA 126742
KARISIMBI 518302
KATWA 424920
KAYNA 362851
KIBIRIZI 331604
KIBUA 104917
KILO 57244
KIROTSHE 452929
KITOYI 22000
KOMANDA 189251
KYONDO 222254
LAYBO 145111
LINGA 151032
LITA 131251
LOGO 246325
LOLWA 46878
LUBERO 274996
MABALAKO 192291
MAHAGI 178740
MAMBASA 98208
MANDIMA 141513
MANGALA 94886
MANGUREDJIPA 74827
MASEREKA 183527
MASISI 423301
MONGBWALU 136572
MUSIENENE 257600
MUTWANGA 256179
MWESO 404625
NIA-NIA 73073
NIZI 145051
NYANKUNDE 100299
NYARAMBE 238825
NYIRAGONGO 635148
OICHA 347253
PINGA 156081
RETHY 205135
RIMBA 216446
RUTSHURU 293634
RWAMPARA 137286
RWANGUBA 268948
TCHOMIA 113035
VUHOVI 125530
WALIKALE 162523
ADJA 129346
