0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231
ADI,0.0,0.0011556142126210036,0.0010400527971796694,0.0009698606736492367,0.0009326222934760152,0.0009192941070068627,0.0009233021119143815,0.0009398785477969797,0.0009655742906033992,0.0009979013120755553,0.0010350707452744246,0.0010758010612335056,0.0011191782832611352,0.0011645537742879242,0.0012114700803067535,0.0012596070009749385,0.0013087424158584329,0.0013587242283392698,0.0014094499056227505,0.0014608518686145544,0.0015128871309570966,0.00259835398173891,0.0024907850311137736,0.002431142405839637,0.0024060587165877227,0.0024057970149442554,0.002423281985102221,0.002453386812703684,0.002492408239049837,0.002537681197281927,0.002587295952253044,0.0026398911140859127,0.0026945022109430283,0.002750451298197732,0.002807266544550657,0.00286462384974584,0.0029223044984973967,0.0029801645723637193,0.003038113005459309,0.003096095751971007,0.003154084552079439,0.003212068811990321,0.003270050015999004,0.0033280376228503887,0.0033860464463941753,0.003444094560109079,0.0035022021329496056,0.0035603904107119892,0.0036186811921652406,0.0036770964507013564,0.003735658072400838,0.0037943877396173775,0.003853306814562529,0.003912436397513375,0.003971797181293368,0.004031409596791491,0.0040912937256507576,0.004151469358475879,0.004211956053040922,0.00427277316339314,0.004333939752541482,0.004395474767079578,0.004457396949874236,0.004519724898273125,0.004582477064104751,0.004645671811886132,0.004709327360615134,0.004773461841978133,0.004838093358557671,0.004903239838313311,0.0049689192383084455,0.005035149370087311,0.0051019480742979795,0.005169333075173199,0.0052373221260495475,0.005305932922055946,0.005375183100113645,0.005445090326247737,0.0055156722373794756,0.005586946470430121,0.005658930633217096,0.005731642333557829,0.0058050992665812364,0.005879319040104747,0.005954319320153445,0.00603011780185625,0.006106732238549739,0.006184180354466662,0.006262479932047428,0.006341648841043934,0.006421704951208085,0.007613485620822757,0.007661362033104523,0.007729574164841323,0.007812913478119299,0.007907499035354705,0.008010438847122714,0.00811957771657035,0.008233309228671716,0.0083504363137763,0.008470066881272942,0.008591536432504654,0.008714350289665163,0.008838140463922173,0.008962633728515357,0.009087627578992395,0.009212972479872406,0.009338558505987749,0.009464305418077856,0.009590155270416291,0.009716066881082952,0.009842011582804844,0.009967970341676846,0.010093931196024641,0.0102198877139017,0.01034583756700158,0.010471781628439205,0.010597723216051236,0.010723667568527162,0.010849621379747987,0.010975592565955594,0.01110158991650678,0.011227623093873262,0.011353702313499523,0.011479838343802841,0.011606042447965592,0.011732326267519966,0.01185870182234794,0.011985181452473627,0.012111777788959444,0.012238503812113777,0.012365372705971822,0.012492397974710913,0.01261959329713136,0.012746972672175616,0.012874550360720605,0.013002340798266232,0.013130358740454541,0.01325861908844672,0.013387137092649937,0.013515928148990495,0.013530423369957134,0.01365783842629753,0.013782283087493852,0.013904477847972885,0.014024952688487248,0.0141440971638076,0.014262197248172015,0.014379462896613402,0.014496048126602544,0.014612066006520763,0.01472759959870018,0.014842710108496247,0.014957442792365327,0.015071831265231594,0.015185900760116056,0.015299670456442982,0.015413155197165906,0.015526366623817012,0.015639314195141196,0.015752005798276514,0.01586444821441546,0.01597664740984328,0.0160886088560801,0.016200337675400082,0.016311838786350563,0.016423116874648258,0.016534176596906036,0.01664502258063294,0.01675565939513035,0.016866091638803482,0.016976323939161375,0.017086360923713073,0.01719620721996762,0.017305867542745546,0.01741534663597122,0.017524649243568998,0.01763378019677475,0.017742744268616658,0.01785154637764208,0.01796019138419069,0.01806868420680985,0.018177029822254557,0.018285233236383647,0.018393299425952137,0.01850123342592269,0.018609040358569476,0.01871672525885515,0.01882429327815771,0.01893174953875132,0.019039099250221625,0.01914634756394662,0.019253499689511955,0.019360560923814774,0.019467536447336897,0.0195744315860793,0.019681251636939123,0.019788001925917342,0.01989468777901493,0.020001314580440518,0.02010788771440275,0.020214412536006417,0.02032089451677166,0.02042733907001093,0.02053375166724436,0.020640137750888243,0.020746502850670367,0.020852852438110855,0.020959192072041333,0.021065527253085747,0.02117186356917955,0.02127820657915436,0.021384561900049448,0.02149093509069644,0.02159733176813461,0.021703757607610896,0.021810218226164583,0.0219167192990426,0.02202326647238806,0.022129865479655564,0.02223652199609205,0.02234324172604829,0.022450030432082716,0.022556893818546087,0.022663837677100673,0.022770867741201076,0.022877989831613373,0.022985209681792185,0.02309253314160742,0.02319996600272134,0.02330751411500387
ADJA,0.0,0.0008797796035651118,0.0007918016344774513,0.0007386506476905197,0.0007107790297595784,0.000701238153851591,0.0007049814739730209,0.0007183524285210298,0.0007387084478978068,0.0007641452830284834,0.0007932953449198976,0.0008251800900325179,0.0008591024816269055,0.0008945685549406336,0.0009312303882325068,0.0009688448626548053,0.001007243656204082,0.0010463116341270506,0.0010859714238904417,0.0011261721228947865,0.0011668814258882776,0.0019289939518785106,0.0018556744616944343,0.0018165891815442594,0.0018021272553596648,0.0018053022358799355,0.0018210485286545008,0.0018457040569046512,0.001876630252809264,0.0019119333592243493,0.0019502604263834653,0.001990650111110881,0.0020324238430475816,0.0020751066913362592,0.0021183697099331766,0.0021619882754748687,0.002205811979365535,0.002249742843559943,0.0022937198227737103,0.002337707570404745,0.002381688536843285,0.002425657366984524,0.002469616913003847,0.002513575469492934,0.0025575448235031213,0.002601539017632604,0.002645573345944285,0.002689663830096833,0.002733826782787219,0.002778078604023904,0.002822435591951944,0.0028669138409895822,0.0029115292709320784,0.002956297510536388,0.003001233984832652,0.0030463538714684546,0.0030916721443645656,0.0031372035591630265,0.0031829627114348114,0.0032289640512317423,0.003275221853982657,0.0033217502932529896,0.00336856342619285,0.0034156751935370266,0.0034630994778126483,0.0035108500451315194,0.003558940632501617,0.003607384889619425,0.003656196437077597,0.0037053887936053798,0.0037549755070358523,0.0038049700378905977,0.0038553858321392904,0.0039062363211996853,0.003957534878281877,0.004009294920251705,0.0040615297912154355,0.0041142528352793315,0.0041674774402054035,0.004221216920996085,0.004275484650861472,0.004330293973907828,0.004385658263345249,0.004441590906935744,0.0044981052924413225,0.004555214836727828,0.004612932971213013,0.0046712731709703794,0.004730248940177262,0.004789873797562905,0.0048501613055123025,0.0057805044925771645,0.00582014420069754,0.005875139540876262,0.005941594470641576,0.0060166004550410435,0.006097985417000018,0.0061841268761781976,0.006273812497965992,0.006366136236465536,0.006460420801886357,0.006556159845786169,0.006652974916505627,0.006750583153916523,0.006848773336969316,0.006947387897525914,0.007046309503493831,0.0071454510471085095,0.007244748077937402,0.007344153287704103,0.007443632246577181,0.007543160230852663,0.007642719938303344,0.007742299640085548,0.00784189188561868,0.007941492513054982,0.008041099878028035,0.008140714300679974,0.008240337614552118,0.008339972904650494,0.008439624187303707,0.008539296308299527,0.008638994710054249,0.008738725431612695,0.00883849493402522,0.00893831011489965,0.009038178221089764,0.009138106819591485,0.00923810376843903,0.009338177216704937,0.009438335575396195,0.009538587473798543,0.00963894184678793,0.009739407789311372,0.009839994658250362,0.00994071205786895,0.01004156976705417,0.0101425777975237,0.010243746422929691,0.010345086062443444,0.010446607382618822,0.010469830900547095,0.010570399434072895,0.010668857037671842,0.010765712955617346,0.010861340721021406,0.010956014011753723,0.011049933091271669,0.011143244395498186,0.01123605489556212,0.011328442764352076,0.011420465089031495,0.011512163662700914,0.011603569175349548,0.011694704269757494,0.01178558575338684,0.011876226286403837,0.01196663556038402,0.0120568211277714,0.012146789071266541,0.012236544382176362,0.01232609138241969,0.012415433884598315,0.012504575366619973,0.01259351908811368,0.012682268235948868,0.01277082585147582,0.012859195019700564,0.012947378767421469,0.013035380165092649,0.013123202326823956,0.013210848337621428,0.01329832139890641,0.01338562472665217,0.013472761551383884,0.013559735176386312,0.013646548963151872,0.013733206273172982,0.01381971055525355,0.013906065258197486,0.01399227388901636,0.014078340012929402,0.01416426720970776,0.01425005907367449,0.014335719301016068,0.014421251544263212,0.014506659543258138,0.014591947052394971,0.014677117869723588,0.01476217580784578,0.014847124708467163,0.01493196844239719,0.015016710938652976,0.01510135612625163,0.015185907963314094,0.015270370437065141,0.015354747578385288,0.015439043403603138,0.015523262001806868,0.015607407432980837,0.015691483844420873,0.01577549535431899,0.015859446139074862,0.015943340345984325,0.016027182209654708,0.016110975950141437,0.016194725802051838,0.01627843604364898,0.016362110938644037,0.016445754808955826,0.016529371976503168,0.01661296677775681,0.016696543578291312,0.016780106743681245,0.01686366066860501,0.016947209776844833,0.01703075849218294,0.017114311252953485,0.017197872512042522,0.01728144676599186,0.01736503848223947,0.017448652171879075,0.017532292346004397,0.0176159635593649,0.017699670337606218,0.017783417264581658,0.01786720888048876,0.017951049798284657,0.018034944601822644,0.01811889791861176,0.018202914361609143
ALIMBONGO,0.0,0.004600057931384072,0.004140052042203024,0.0038552447804249827,0.0036980126169510186,0.0036335376498755063,0.0036364131956361226,0.0036881393461953853,0.003775277204113081,0.003888090344844386,0.0040195459441747525,0.004164581565419212,0.004319567640777677,0.00448191401665099,0.004649782669730485,0.00482187810121104,0.004997294978238642,0.005175407306523994,0.0053557885403279215,0.005538153607631102,0.005722317262552679,0.014209772372851147,0.013372269342653452,0.01285870317951776,0.012580903217894956,0.012474138115067037,0.012490977940615268,0.012596747284987941,0.01276615951792337,0.012980828556464985,0.013227431307313964,0.013496352476067841,0.013780686567770315,0.014075503597268838,0.014377310464624316,0.014683655754197387,0.014992841082857922,0.015303710097214209,0.015615495009114966,0.01592770530260168,0.016240046767052263,0.016552363609662283,0.016864596342202276,0.017176752124214545,0.017488883284386247,0.017801072332076732,0.01811342139262706,0.01842604487319477,0.01873906431137584,0.019052604999160398,0.019366793683730062,0.01968175705405884,0.019997620896901932,0.02031450934009626,0.02063254476524889,0.020951847604010254,0.02127253625076264,0.021594727179035544,0.021918535087024796,0.022244072810281068,0.02257145167095587,0.022900781477801502,0.023232170584378764,0.023565726180095226,0.02390155420289375,0.0242397595429793,0.02458044610102661,0.02492371690459549,0.025269674079027027,0.02561841908027418,0.025970052578486502,0.026324674661736932,0.02668238480691798,0.02704328196705319,0.02740746462950483,0.02777503084507771,0.028146078228019174,0.02852070407243445,0.02889900543959812,0.0292810789833311,0.0296670212992467,0.030056928633712232,0.03045089723309502,0.03084902311093174,0.031251402251655236,0.03165813063969836,0.032069304172182456,0.03248501883354038,0.032905370608204976,0.0333304556843359,0.03376037025009282,0.042219969996949665,0.0421363215718884,0.04225633459282108,0.04252559231827036,0.042903960071271285,0.043361868330976,0.043877558084204786,0.04443504105438478,0.04502258935826831,0.04563161850092001,0.0462558614090085,0.046890758152585484,0.047533005301374935,0.0481802235590294,0.04883071256335825,0.049483270267955966,0.05013706017052755,0.05079151346581057,0.05144625715911389,0.0521010615339037,0.05275580135639757,0.05341042764484882,0.05406494697672315,0.054719406354706734,0.055373882176354534,0.05602847220143303,0.05668328976025805,0.05733845953363925,0.05799411443877034,0.05865039341733791,0.05930743989301845,0.05996540069463663,0.06062442506663501,0.061284664261620485,0.061946271045599126,0.06260939946514554,0.06327420464367606,0.06394084260682575,0.06460947025334463,0.06528024532599375,0.0659533262369223,0.06662887230049819,0.06730704347137363,0.0679880004900042,0.06867190491175279,0.06935891907778569,0.0700492061150726,0.0707429299945943,0.07144025556044653,0.07214134847163223,0.071346543089021,0.07202989325742237,0.07267864941968583,0.07330128748435527,0.07390410485095343,0.0744917785632424,0.07506778175593354,0.07563469410524704,0.07619443285511808,0.07674842482083477,0.07729773432947695,0.07784315792378038,0.0783852947934065,0.07892459887079895,0.0794614173064474,0.07999601899064146,0.08052861547912471,0.08105937638902105,0.08158844077843241,0.08211592541192657,0.08264193095965311,0.08316654615919106,0.08368985133711249,0.08421192050445825,0.0847328232775908,0.08525262580951676,0.08577139192493632,0.08628918358590454,0.08680606135749258,0.08732208478613758,0.08783731251605786,0.08835180252208374,0.08886561216786504,0.08937879829318263,0.08989141724305227,0.09040352495503612,0.09091517687193118,0.09142642811639234,0.0919373333454132,0.09244794677942993,0.09295832237694412,0.09346851357258856,0.09397857345174998,0.094488554779673,0.09499850982683712,0.09550849060178734,0.09601854864740744,0.09652873515733518,0.09703910094685853,0.09754969651112333,0.09806057190871798,0.09857177690719254,0.09908336083753966,0.0995953727979213,0.10010786142083816,0.10062087504775263,0.10113446167088114,0.1016486689914018,0.10216354433214292,0.10267913472489454,0.10319548682309687,0.10371264701825568,0.10423066141083837,0.10474957575206643,0.10526943547301926,0.10579028580104932,0.10631217155605556,0.10683513738331384,0.10735922754975036,0.10788448608946057,0.10841095677460544,0.10893868308630772,0.10946770827285944,0.10999807526241057,0.11052982677938417,0.11106300531537272,0.11159765304182656,0.11213381198467688,0.11267152382060885,0.1132108301098924,0.11375177206355147,0.11429439080529845,0.11483872710959984,0.1153848216345068,0.11593271474703215,0.1164824466977734,0.11703405741718598,0.11758758674841376,0.1181430742435623,0.11870055936742575
ANGUMU,0.0,0.001877204776974395,0.0016894842847250402,0.0015743656258564442,0.0015120461175683886,0.0014880746894050392,0.0014919267850928009,0.0015159541508182885,0.0015546125068794936,0.0016038938192650676,0.00166090956190601,0.001723585621220991,0.0017904386622831228,0.0018604131764732301,0.0019327623303979637,0.0020069615275133397,0.0020826454856432974,0.0021595628350041807,0.0022375431144610047,0.0023164731392171234,0.0023962800623849034,0.004596571059664711,0.004378042387543246,0.004250901460181922,0.0041899001807905725,0.00417658849619329,0.0041975144122261545,0.004242895025527105,0.004305636597564444,0.004380612575914711,0.0044641327986028045,0.004553553473670036,0.004646991234039889,0.004743113968288526,0.004840987821808085,0.00493996575823985,0.0050396065053064385,0.005139615706866607,0.005239803344011307,0.005340053146937862,0.005440300446934998,0.005540516518522054,0.005640697258058935,0.0057408552384004,0.0058410141500644394,0.005941204901318997,0.006041462882421911,0.0061418260738719255,0.006242333940463141,0.006343026441754772,0.0064439436537213615,0.006545125332195312,0.006646610738243908,0.0067484385799616575,0.0068506469251587996,0.00695327325956896,0.007056354428641498,0.0071599266957491645,0.007264025829499587,0.007368687074631453,0.007473945297533645,0.007579834811622277,0.007686389726586641,0.007793643686454744,0.00790163007332012,0.008010381978238001,0.008119932288536802,0.008230313542298973,0.008341558161191642,0.008453698392258957,0.008566766191506758,0.008680793485837055,0.008795811969321221,0.008911853219615296,0.009028948785271496,0.009147130011115223,0.009266428154660387,0.009386874502524734,0.009508500137599185,0.00963133620098233,0.009755413688253613,0.00988076368230395,0.010007417149608957,0.010135405085748063,0.010264758428093046,0.010395508230431005,0.010527685488341376,0.010661321197403595,0.01079644649871625,0.01093309247517027,0.011071290326071905,0.012947348674060777,0.013026342261582613,0.01313603128073737,0.013268439070088787,0.013417618116363885,0.01357913317042403,0.013749676378211008,0.013926780695328487,0.014108606497757137,0.01429378244210966,0.014481286954833196,0.014670359872980043,0.014860436553135513,0.015051098598632963,0.015242037188727409,0.015433025691891087,0.015623899060301484,0.015814538579434156,0.0160048604302574,0.016194806958083063,0.0163843403570354,0.016573437838815153,0.016762087965616956,0.016950287856161594,0.017138041352154687,0.017325357242953032,0.01751224824693054,0.017698730051051825,0.01788482075789943,0.0180705402744934,0.018255909933941442,0.018440952379023656,0.01862569103832357,0.01881015030085109,0.0189943551667966,0.019178331160219383,0.019362104387255386,0.019545701361494142,0.01972914903308265,0.019912474672310054,0.02009570595691912,0.020278870884794745,0.020461997773963958,0.020645115175284445,0.020828252076171342,0.021011437638662755,0.02119470140314661,0.02137807314284146,0.021561582922004163,0.021745261154137552,0.02172828876064159,0.021908944065216932,0.022084262309363112,0.022255472315009683,0.02242348188883625,0.02258896143757738,0.02275240601738915,0.02291418143431656,0.0230745582957752,0.02323373718536459,0.02339186731842346,0.023549060220830142,0.02370539988623932,0.02386095013935119,0.024015760282054543,0.024169868876924742,0.024323306803125888,0.024476099410094317,0.02462826803093776,0.024779831059277058,0.024930804909672588,0.02508120454149321,0.02523104380816221,0.02538033592281863,0.02552909348742105,0.025677328841993585,0.025825054064625874,0.025972281000576917,0.02611902140779421,0.02626528704422526,0.0264110894931946,0.02655644033802673,0.026701351191150025,0.026845833548577502,0.026989898964529857,0.027133558905916292,0.027276824897853658,0.02741970837814733,0.027562220813706517,0.02770437367144041,0.027846178330946717,0.02798764620092697,0.028128788690082732,0.028269617090700194,0.028410142811480913,0.02855037714471109,0.028690331382676963,0.028830016788560894,0.028969444625545293,0.029108626098604876,0.029247572412714362,0.029386294772848487,0.02952480429667048,0.02966311210184358,0.02980122933513485,0.02993916702689603,0.030076936265686523,0.030214548023650426,0.030352013389347118,0.030489343247609213,0.03062654859968461,0.030763640359509736,0.030900629441021014,0.031037526699947193,0.03117434296291321,0.03131108911475167,0.03144777589477599,0.031584414129611105,0.03172101452946663,0.03185758780455217,0.03199414472328499,0.03213069587945938,0.03226725198328495,0.032403823657659814,0.032540421467274434,0.032677056005923084,0.03281373780919239,0.03295047747087665,0.03308728541014716,0.03322417219169438,0.033361148234689615,0.03349822395830415,0.033635409810813144,0.033772716182284064,0.033910153433680534,0.03404773189686239,0.03418546193279326,0.0343233538151253,0.034461417817510664,0.03459966424270533
ARIWARA,0.0,0.0013076156319584695,0.0011768540716730056,0.001098088163416833,0.0010570499871391805,0.0010433605348225683,0.0010494859307073057,0.0010699701961129904,0.0011008726723957807,0.0011393554450478405,0.0011833816242869946,0.0012314947962295266,0.0012826583115383985,0.0013361380842979993,0.0013914175506215545,0.0014481361140497027,0.0015060442965477705,0.0015649718407075852,0.0016248042811639607,0.0016854666755534706,0.0017469114682171494,0.002840729983290657,0.0027361701359041035,0.002681364625459537,0.002662312355823815,0.0026688435464166105,0.002693590824492276,0.0027312329330015928,0.0027779395750258122,0.002830964629538357,0.0028883484192192554,0.0029487002757377927,0.0030110400402918462,0.0030746827251277864,0.003139154840027913,0.0032041337981354445,0.003269404114689678,0.0033348260330967605,0.003400312882149592,0.003465815010713413,0.0035313082044012845,0.0035967857402283703,0.003662252536742017,0.003727721341419965,0.0037932097329758103,0.0038587385206483305,0.003924330289009959,0.003990008495748043,0.004055797122418881,0.0041217201796825975,0.004187801503576338,0.004254064697306603,0.004320532956626265,0.004387229244457558,0.004454176058061421,0.004521395690971986,0.004588910000165924,0.004656740667996928,0.0047249091148842135,0.00479343649931252,0.004862343776039779,0.004931651783408597,0.0050013812142424285,0.005071552528534085,0.005142186157172546,0.005213302414631471,0.005284921498969197,0.005357063579140231,0.005429748649476096,0.005502996762515977,0.005576827854383737,0.005651261802995578,0.005726318515371531,0.005802017840323971,0.0058783795102499425,0.0059554234030656525,0.006033169251168147,0.006111636845162138,0.006190845946548507,0.006270816316828132,0.006351567775709554,0.0064331200846936545,0.0065154930925928065,0.006598706619115546,0.0066827805421780795,0.006767734739696607,0.0068535892060026535,0.00694036390632391,0.007028078834991902,0.007116754160961136,0.007206409965874626,0.008609877375420183,0.008669972012285143,0.008753269823500888,0.008853899664245546,0.008967478177510202,0.009090731735341251,0.009221214801073073,0.009357099828775972,0.009497020742855966,0.009639956144383177,0.0097851422324311,0.009932007815223187,0.01008012579404749,0.010229176928987728,0.010378922859672457,0.010529185819905251,0.010679833474569023,0.010830767801962793,0.010981916420860216,0.011133226449601352,0.01128465961664915,0.011436188739025964,0.011587795161176471,0.01173946660128422,0.011891195754287764,0.012042979127727449,0.012194816110422836,0.012346708565019071,0.012498660013079643,0.012650675605982542,0.012802761601051316,0.012954925245139748,0.013107174687320368,0.0132595187460538,0.013411966821877286,0.013564528955612332,0.013717215624637902,0.013870037801098078,0.01402300686459057,0.014176134602166712,0.014329433266539128,0.01448291537235491,0.014636593841714785,0.01479048203327693,0.01494459350942634,0.015098942298209296,0.01525354274781421,0.0154084094974678,0.015563557564746587,0.015719002316473052,0.01576011750148609,0.015914232586510483,0.016065260220784694,0.016213951603276655,0.01636085714562796,0.0165063796157483,0.016650813340675086,0.016794373135780916,0.01693721563788131,0.017079455050406978,0.017221174493897706,0.017362434678943828,0.017503279901575297,0.017643742670770738,0.017783847084501758,0.017923610983416438,0.01806304801721126,0.018202168692369014,0.018340981274377555,0.0184794926608447,0.018617708585225046,0.018755634198896587,0.018893274071160704,0.019030632625799626,0.019167713966453448,0.019304522254969925,0.01944106150767766,0.019577335857320573,0.01971334934933111,0.01984910620376468,0.019984610669780526,0.02011986699653789,0.020254879607819017,0.02038965292740613,0.02052419152460061,0.02065849996870384,0.020792582974536344,0.02092644525691867,0.02106009164708666,0.02119352703448385,0.0213267563667614,0.02145978470798582,0.02159261709311977,0.021725258673541248,0.021857714658835903,0.021989990345900882,0.022122091002529487,0.022254022012930363,0.022385788848623637,0.022517396952025592,0.022648851852864027,0.022780159168178216,0.02291132451500744,0.0230423535394948,0.02317325203330256,0.023304025729885325,0.023434680450009186,0.023565222072647884,0.02369565650587901,0.023825989715987816,0.023956227640155703,0.02408637633197941,0.0242164418741595,0.02434643037850037,0.02447634798591025,0.0246062008664012,0.024735995277296752,0.024865737417712808,0.02499543360318057,0.02512509017833509,0.025254713487811387,0.025384309934452176,0.025513885891996324,0.025643447850598026,0.025773002300411463,0.02590255573159084,0.026032114721601832,0.02616168581880629,0.026291275600669902,0.02642089073196985,0.026550537848379463,0.026680223643779755,0.026809954812051732,0.02693973807618022,0.027069580246461555,0.02719948801677674,0.027329468284733597,0.02745952780242078,0.02758967346744612,0.0277199121483136
ARU,0.0,0.0016177668294403704,0.001455990131944418,0.0013573134201578796,0.001304493605857715,0.0012849603081122039,0.001289568142965436,0.0013116784393787384,0.0013464842922985554,0.0013905148080084473,0.0014412718301173302,0.0014969638432376089,0.0015563115593977273,0.001618406007764861,0.0016826051578391346,0.001748458860674873,0.0018156543665099891,0.0018839769472833727,0.001953281433088705,0.002023471868596971,0.002094486786518246,0.0037431021919474006,0.0035809305845759813,0.0034894428681582212,0.0034489828394725923,0.003445216891122982,0.003467717731837183,0.0035089202283415943,0.003563352773198858,0.0036270720884203906,0.0036972482048440725,0.0037718603562098,0.003849474305752665,0.003929079888621345,0.0040099723264575005,0.004091666254680604,0.004173833003733307,0.004256255400832743,0.004338795290095732,0.004421369842020796,0.00450393496430479,0.004586473223753274,0.004668985464377329,0.004751484666485339,0.004833991930354387,0.004916533449431881,0.0049991385312750936,0.005081838404294103,0.005164665024494752,0.005247650755336508,0.005330827843863517,0.005414228304289281,0.0054978836269583544,0.005581824923865497,0.005666082754032686,0.005750687181716785,0.0058356678346171975,0.005921053874772042,0.0060068740567658105,0.006093156815040857,0.006179930176585914,0.0062672219064552346,0.006355059507768601,0.006443470192607492,0.006532480998430401,0.0066221187298651785,0.006712409987812862,0.006803381227655336,0.0068950588174629965,0.0069874688633717605,0.007080637471517549,0.007174590573413298,0.007269354013260455,0.007364953518845141,0.007461414847057313,0.0075587635510601095,0.007657025242224336,0.0077562253864016375,0.007856389507651329,0.007957543013617395,0.00805971137015149,0.008162919926689938,0.008267194149084391,0.008372559415875003,0.008479041163809597,0.008586664800532162,0.008695455791894345,0.008805439661955461,0.008916641905670986,0.009029088134411722,0.009142803988652306,0.010782089666463436,0.010850720194866879,0.01094636949710548,0.011062090459745377,0.0111927010002546,0.011334335024002941,0.011484107497381045,0.011639865464530885,0.01180000207386911,0.011963318363996223,0.01212891997420229,0.01229614016483538,0.012464482511859387,0.012633577949600294,0.012803152872947976,0.012973005184903741,0.01314298648503609,0.013312988681718707,0.013482934038620442,0.013652767636813223,0.01382245184504427,0.013991962128784508,0.014161283732391894,0.014330409554531796,0.014499338227324188,0.0146680727484636,0.0148366195790004,0.015004987828433512,0.015173188701737672,0.015341235033702104,0.015509140968788415,0.01567692178650759,0.015844593581277874,0.016012173262424767,0.016179678350454196,0.016347126889741048,0.016514537477632985,0.01668192911893129,0.01684932125499472,0.017016733705531806,0.017184186639497057,0.017351700575090945,0.017519296408863738,0.017686995299300182,0.0178548187832348,0.0180227886303328,0.01819092701771297,0.01835925638442859,0.01852779946057126,0.018696579325478524,0.018706339527852837,0.018872925778850917,0.0190352721256204,0.019194375723600388,0.019350971037056297,0.019505598727846518,0.019658656674437225,0.01981043754494749,0.019961156795034185,0.02011097318609245,0.02026000403566286,0.020408336247783158,0.020556034665787596,0.020703147980384532,0.02084971324075013,0.020995759085053575,0.021141307981451973,0.021286378119839355,0.02143098448868841,0.02157513992278837,0.021718855627113957,0.021862141788005832,0.02200500774779357,0.022147462412249297,0.022289514279691502,0.02243117164471187,0.02257244268548675,0.022713335434673357,0.022853857924928892,0.022994018159806732,0.023133824171964083,0.023273283906746656,0.023412405484123155,0.023551196907646958,0.02368966629728675,0.02382782174390741,0.023965671367477626,0.024103223375277597,0.02424048591637984,0.02437746719806455,0.024514175456715748,0.02465061895782128,0.02478680593776517,0.024922744749346748,0.025058443628950045,0.0251939109293744,0.025329154974315315,0.02546418414567597,0.025599006796255708,0.025733631278853863,0.02586806600447744,0.026002319355029613,0.02613639977062121,0.02627031563315541,0.02640407544095069,0.02653768754680641,0.026671160478144884,0.02680450264597312,0.02693772251950577,0.027070828567957502,0.02720382928964682,0.027336733153788373,0.02746954865870066,0.027602284273598343,0.02773494849679992,0.027867549884831533,0.028000096877804026,0.02813259806134738,0.028265061875572425,0.028397496906109158,0.028529911622172218,0.02866231460939161,0.028794714336982,0.02892711936146952,0.029059538239380345,0.02919197946903296,0.02932445160695352,0.029456963180564344,0.029589522746391594,0.029722138831857595,0.029854819993488487,0.02998757475870661,0.030120411684038118,0.030253339326009158,0.03038636621204205,0.030519500898662955,0.0306527519132942,0.030786127812461924,0.03091963718179613,0.031053288519615307
