HD_1 145611
HD_2 120420
HD_3 59068
HD_4 233286
HD_5 216355
HD_6 164922
HD_7 106106
HD_8 123039
HD_9 131719
HD_10 128249
HD_11 178828
HD_12 220463
HD_13 109468
HD_14 162996
HD_15 154269
HD_16 241314
HD_17 185411
HD_18 118933
HD_19 116333
HD_20 211543
HD_21 266385
HD_22 48877
HD_23 179376
HD_24 715316
HD_25 159795
HD_26 205854
HD_27 382738
HD_28 36778
HD_29 210353
HD_30 39552
HD_31 69781
HD_32 195276
HD_33 32300
HD_34 224629
HD_35 58488
HD_36 38583
HD_37 367941
HD_38 101865
HD_39 105001
HD_40 28854
HD_41 102721
HD_42 64548
HD_43 44009
HD_44 72871
HD_45 74817
HD_46 147385
HD_47 68794
HD_48 108385
HD_49 147300
HD_50 95888
HD_51 109612
HD_52 56408
HD_53 67994
HD_54 409274
HD_55 406850
HD_56 424168
HD_57 234411
HD_58 126041
HD_59 62758
HD_60 161317
HD_61 342112
HD_62 205176
HD_63 127014
HD_64 130749
HD_65 252794
HD_66 219483
HD_67 192163
HD_68 147754
HD_69 246666
HD_70 311237
HD_71 122788
HD_72 236460
HD_73 189877
HD_74 79172
HD_75 96474
HD_76 96882
HD_77 215427
HD_78 221627
HD_79 87199
HD_80 31474
HD_81 99446
HD_82 74563
HD_83 59447
HD_84 130038
HD_85 71062
HD_86 200079
HD_87 31607
HD_88 138227
HD_89 115948
HD_90 154715
HD_91 59623
HD_92 73562
HD_93 92730
HD_94 69860
HD_95 13260
HD_96 132043
HD_97 115321
HD_98 59600
HD_99 53129
HD_100 53455
HD_101 156965
HD_102 78964
HD_103 318465
HD_104 202806
HD_105 161556
HD_106 353589
HD_107 310518
HD_108 539852
HD_109 194778
HD_110 173857
HD_111 112923
HD_112 159320
HD_113 99150
HD_114 127572
HD_115 186587
HD_116 145544
HD_117 115275
HD_118 182454
HD_119 397183
HD_120 157418
HD_121 172341
HD_122 131262
HD_123 249168
HD_124 18195
HD_125 255990
HD_126 47466
HD_127 112916
HD_128 41648
HD_129 9340
HD_130 188408
HD_131 110897
HD_132 47347
HD_133 105594
HD_134 54982
HD_135 91622
HD_136 189126
HD_137 124127
HD_138 89442
HD_139 213167
HD_140 103296
HD_141 189812
HD_142 19056
HD_143 162552
HD_144 123021
HD_145 58110
HD_146 59764
HD_147 36349
HD_148 131491
HD_149 15959
HD_150 228386
HD_151 73371
HD_152 142092
