ADM1_NAME,ADM2_NAME,Pop2018
Ituri,Kambala,126742
Ituri,Logo,246325
Ituri,Mahagi,178740
Ituri,Nyarambe,238825
Ituri,Rimba,216446
Ituri,Lolwa,46878
Ituri,Mambasa,98208
Ituri,Mandima,141513
Ituri,Nia-Nia,73073
Kasaï,Dekese,152895
Kasaï,Banga Lubaka,163400
Kasaï,Ilebo,185666
Kasaï,Mikope,195422
Kasaï,Kalonda Ouest,427372
Kasaï,Kamonia,337298
Kasaï,Kamwesha,397097
Kasaï,Kanzala,252509
Kasaï,Kitangwa,254635
Kasaï,Mutena,239613
Kasaï,Nyanga,129753
Kasaï,Tshikapa,382259
Kasaï,Luebo,254080
Kasaï,Ndjoko-Mpunda,158583
Kasaï,Bulape,177756
Kasaï,Kakenge,154132
Kasaï,Mushenge,152695
Kasaï,Mweka,211672
Kasaï-Central,Bena Leka,291068
Kasaï-Central,Demba,330666
Kasaï-Central,Mutoto,134760
Kasaï-Central,Bunkonde,118806
Kasaï-Central,Dibaya,156814
Kasaï-Central,Lubondaie,157123
Kasaï-Central,Tshikula,142381
Kasaï-Central,Bena Tshiadi,119361
Kasaï-Central,Katende,95033
Kasaï-Central,Lubunga,102627
Kasaï-Central,Muetshi,117751
Kasaï-Central,Bobozo,46958
Kasaï-Central,Kananga,284660
Kasaï-Central,Katoka,147580
Kasaï-Central,Lukonga,284259
Kasaï-Central,Ndesha,108025
Kasaï-Central,Tshikaji,125242
Kasaï-Central,Bilomba,94422
Kasaï-Central,Kalomba,157620
Kasaï-Central,Mikalayi,229406
Kasaï-Central,Ndekesha,166474
Kasaï-Central,Tshibala,254885
Kasaï-Central,Luambo,284964
Kasaï-Central,Luiza,179697
Kasaï-Central,Masuika,214129
Kasaï-Central,Yangala,160102
Kasaï-Oriental,Kabeya Kamuanga,196702
Kasaï-Oriental,Bibanga,163163
Kasaï-Oriental,Tshitenge,251439
Kasaï-Oriental,Mukumbi,129025
Kasaï-Oriental,Tshishimbi,208234
Kasaï-Oriental,Bipemba,391058
Kasaï-Oriental,Bonzola,219278
Kasaï-Oriental,Dibindi,289684
Kasaï-Oriental,Diulu,405653
Kasaï-Oriental,Kansele,276808
Kasaï-Oriental,Lubilanji,284847
Kasaï-Oriental,Lukelenge,297677
Kasaï-Oriental,Mpokolo,332558
Kasaï-Oriental,Muya,379666
Kasaï-Oriental,Nzaba,322429
Kasaï-Oriental,Cilundu,198304
Kasaï-Oriental,Miabi,159040
Kasaï-Oriental,Kasansa,224731
Kasaï-Oriental,Tshilenge,323103
Kinshasa,Bandalungwa,207037
Kinshasa,Barumbu,173028
Kinshasa,Binza Meteo,457477
Kinshasa,Binza Ozone,426372
Kinshasa,Biyela,256424
Kinshasa,Bumbu,472100
Kinshasa,Gombe,101531
Kinshasa,Kalamu I,166180
Kinshasa,Kalamu II,148324
Kinshasa,Kasa-Vubu,151376
Kinshasa,Kikimi,292869
Kinshasa,Kimbanseke,320502
Kinshasa,Kingabwa,238896
Kinshasa,Kingasani,252457
Kinshasa,Kinshasa,190698
Kinshasa,Kintambo,119245
Kinshasa,Kisenso,493417
Kinshasa,Kokolo,305407
Kinshasa,Lemba,366891
Kinshasa,Limete,213890
Kinshasa,Lingwala,98016
Kinshasa,Makala,350403
Kinshasa,Maluku I,204935
Kinshasa,Maluku II,75022
Kinshasa,Masina I,380638
Kinshasa,Masina II,314335
Kinshasa,Matete,328561
Kinshasa,Mont Ngafula I,281174
Kinshasa,Mont Ngafula II,164720
Kinshasa,Ndjili,366912
Kinshasa,Ngaba,207312
Kinshasa,Ngiri-Ngiri,184845
Kinshasa,Nsele,200485
Kinshasa,Police,145630
Kinshasa,Selembao,396627
Kongo-Central,Boma,166773
Kongo-Central,Masa,122990
Kongo-Central,Sona-Bata,111873
Kongo-Central,Kimvula,80995
Kongo-Central,Kangu,108704
Kongo-Central,Lukula,210139
Kongo-Central,Kibunzi,70721
Kongo-Central,Luozi,93176
Kongo-Central,Mangembo,85092
Kongo-Central,Kisantu,189723
Kongo-Central,Ngidinga,129174
Kongo-Central,Nselo,92791
Kongo-Central,Matadi,168564
Kongo-Central,Nzanza,149482
Kongo-Central,Boko-Kivulu,158951
Kongo-Central,Gombe-Matadi,107829
Kongo-Central,Kimpangu,134279
Kongo-Central,Kwilu-Ngongo,162083
Kongo-Central,Mbanza-Ngungu,116464
Kongo-Central,Boma Bungu,83893
Kongo-Central,Kitona,101945
Kongo-Central,Moanda,147098
Kongo-Central,Inga,84874
Kongo-Central,Seke-Banza,154533
Kongo-Central,Kimpese,205389
Kongo-Central,Nsona-Mpangu,117615
Kongo-Central,Kinkonzi,73423
Kongo-Central,Kizu,67918
Kongo-Central,Kuimba,90935
Kongo-Central,Tshela,93468
Kongo-Central,Vaku,78281
Kwango,Feshi,148105
Kwango,Kisanji,117865
Kwango,Mwela Lembwa,98421
Kwango,Kahemba,253515
Kwango,Kajiji,152550
Kwango,Kasongo Lunda,169172
Kwango,Kitenda,152456
Kwango,Panzi,173878
Kwango,Tembo,126099
Kwango,Wamba Lwadi,113306
Kwango,Boko,208905
Kwango,Kenge,282973
Kwango,Kimbau,179720
Kwango,Popokabaka,186439
Kwilu,Bagata,170969
Kwilu,Kikongo,194436
Kwilu,Sia,113934
Kwilu,Bandundu,191294
Kwilu,Bulungu,274704
Kwilu,Djuma,212895
Kwilu,Lusanga,235692
Kwilu,Pay Kongila,155427
Kwilu,Vanga,289338
Kwilu,Gungu,235133
Kwilu,Kingandu,105170
Kwilu,Mukedi,175199
Kwilu,Idiofa,282753
Kwilu,Ipamu,197679
Kwilu,Kimputu,196309
Kwilu,Koshibanda,184242
Kwilu,Mokala,216020
Kwilu,Mungindu,122825
Kwilu,Kikwit-Nord,215781
Kwilu,Kikwit-Sud,261394
Kwilu,Masi-Manimba,167963
Kwilu,Moanza,194068
Kwilu,Mosango,121433
Kwilu,Yasa-Bonga,215453
Lomami,Kabinda,290059
Lomami,Kalonda Est,238991
Lomami,Ludimbi Lukula,160853
Lomami,Kamiji,102328
Lomami,Kamana,199812
Lomami,Lubao,217664
Lomami,Tshofa,141805
Lomami,Kalenda,209385
Lomami,Kanda Kanda,245804
Lomami,Luputa,305436
Lomami,Wikong,125110
Lomami,Makota,247380
Lomami,Mwene Ditu,445775
Lomami,Kalambayi Kabanga,165068
Lomami,Mulumba,302868
Lomami,Ngandajika,328235
Lualaba,Dilolo,188601
Lualaba,Kasaji,273512
Lualaba,Kalamba,98617
Lualaba,Kapanga,155840
Lualaba,Bunkeya,55962
Lualaba,Fungurume,295537
Lualaba,Kanzenze,101949
Lualaba,Lubudi,83195
Lualaba,Dilala,307304
Lualaba,Lualaba,177904
Lualaba,Mutshatsha,78367
Lualaba,Kafakumba,129342
Lualaba,Sandoa,225799
Maï-Ndombe,Bolobo,141216
Maï-Ndombe,Banjow Moke,119542
Maï-Ndombe,Inongo,178359
Maï-Ndombe,Ntandembelo,86731
Maï-Ndombe,Kiri,114310
Maï-Ndombe,Penjwa,77604
Maï-Ndombe,Bokoro,224794
Maï-Ndombe,Nioki,159547
Maï-Ndombe,Kwamouth,127206
Maï-Ndombe,Mushie,125691
Maï-Ndombe,Bosobe,130687
Maï-Ndombe,Mimia,56792
Maï-Ndombe,Oshwe,151197
Maï-Ndombe,Yumbi,121868
Maniema,Kabambare,120637
Maniema,Lusangi,176168
Maniema,Saramabila,150455
Maniema,Kailo,147587
Maniema,Kasongo,231405
Maniema,Kunda,275988
Maniema,Samba,124849
Maniema,Kibombo,108634
Maniema,Tunda,87681
Maniema,Alunguli,82648
Maniema,Kindu,188742
Maniema,Lubutu,124410
Maniema,Obokote,84070
Maniema,Kalima,142328
Maniema,Kampene,150361
Maniema,Pangi,97126
Maniema,Ferekeni,74188
Maniema,Punia,103503
Mongala,Bongandanga,144445
Mongala,Boso Mondanda,152228
Mongala,Bosondjo,211089
Mongala,Pimu,252863
Mongala,Bumba,217959
Mongala,Lolo,151532
Mongala,Yamaluka,144354
Mongala,Yambuku,296691
Mongala,Yamongili,137862
Mongala,Binga,275676
Mongala,Boso Manzi,124100
Mongala,Lisala,273083
Nord-Kivu,Beni,395029
Nord-Kivu,Butembo,326616
Nord-Kivu,Katwa,424920
Nord-Kivu,Goma,260035
Nord-Kivu,Karisimbi,518302
Nord-Kivu,Alimbongo,227787
Nord-Kivu,Biena,122726
Nord-Kivu,Kayna,362851
Nord-Kivu,Lubero,274996
Nord-Kivu,Manguredjipa,74827
Nord-Kivu,Masereka,183527
Nord-Kivu,Musienene,257600
Nord-Kivu,Katoyi,22000
Nord-Kivu,Kirotshe,452929
Nord-Kivu,Masisi,423301
Nord-Kivu,Mweso,404625
Nord-Kivu,Nyiragongo,635148
Nord-Kivu,Kalunguta,206145
Nord-Kivu,Kamango,109141
Nord-Kivu,Kyondo,222254
Nord-Kivu,Mabalako,192291
Nord-Kivu,Mutwanga,256179
Nord-Kivu,Oicha,347253
Nord-Kivu,Vuhovi,125530
Nord-Kivu,Bambo,156395
Nord-Kivu,Binza,190494
Nord-Kivu,Birambizo,398438
Nord-Kivu,Kibirizi,331604
Nord-Kivu,Rutshuru,293634
Nord-Kivu,Rwanguba,268948
Nord-Kivu,Itebero,183913
Nord-Kivu,Kibua,104917
Nord-Kivu,Pinga,156081
Nord-Kivu,Walikale,162523
Nord-Ubangi,Bili,191684
Nord-Ubangi,Bosobolo,170880
Nord-Ubangi,Businga,132594
Nord-Ubangi,Karawa,260281
Nord-Ubangi,Loko,130669
Nord-Ubangi,Gbadolite,150169
Nord-Ubangi,Mobayi Mbongo,116387
Nord-Ubangi,Abuzi,78905
Nord-Ubangi,Wapinda,81513
Nord-Ubangi,Wasolo,76058
Nord-Ubangi,Yakoma,105107
Sankuru,Djalo Djeka,85478
Sankuru,Katako Kombe,143387
Sankuru,Wembo Nyama,89976
Sankuru,Bena Dibele,91532
Sankuru,Kole,93593
Sankuru,Lodja,196601
Sankuru,Omendjadi,139089
Sankuru,Vanga Kete,131962
Sankuru,Lomela,120127
Sankuru,Tshudi Loto,82837
Sankuru,Dikungu,150540
Sankuru,Minga,170357
Sankuru,Tshumbe,103553
Sankuru,Lusambo,96482
Sankuru,Ototo,137698
Sankuru,Pania Mutombo,78180
Sud-Kivu,Bagira,131612
Sud-Kivu,Ibanda,427449
Sud-Kivu,Kadutu,348548
Sud-Kivu,Fizi,326328
Sud-Kivu,Kimbi Lulenge,190585
Sud-Kivu,Minembwe,83884
Sud-Kivu,Nundu,199170
Sud-Kivu,Idjwi,269837
Sud-Kivu,Kabare,222159
Sud-Kivu,Kaniola,171188
Sud-Kivu,Katana,215741
Sud-Kivu,Miti-Murhesa,247027
Sud-Kivu,Nyantende,128530
Sud-Kivu,Bunyakiri,216471
Sud-Kivu,Kalehe,171500
Sud-Kivu,Kalonge,162633
Sud-Kivu,Minova,252346
Sud-Kivu,Itombwe,93445
Sud-Kivu,Kamituga,195560
Sud-Kivu,Kitutu,149903
Sud-Kivu,Mwana,136217
Sud-Kivu,Mwenga,137858
Sud-Kivu,Kalole,125434
Sud-Kivu,Lulingu,167949
Sud-Kivu,Mulungu,156777
Sud-Kivu,Shabunda,190170
Sud-Kivu,Hauts-Plateaux,143117
Sud-Kivu,Lemera,173214
Sud-Kivu,Ruzizi,173209
Sud-Kivu,Uvira,326033
Sud-Kivu,Kaziba,123106
Sud-Kivu,Mubumbano,189203
Sud-Kivu,Nyangezi,150949
Sud-Kivu,Walungu,261100
Sud-Ubangi,Bangabola,140720
Sud-Ubangi,Budjala,133166
Sud-Ubangi,Bulu,134345
Sud-Ubangi,Mbaya,68319
Sud-Ubangi,Ndage,130496
Sud-Ubangi,Bogosenubia,147522
Sud-Ubangi,Bominenge,161217
