Origin,Origin_Pop,Destination,Destination_Pop,Travel_Time
NIZI,145051,ADJA,129346,18493.0
NYANKUNDE,100299,ADJA,129346,14844.0
NYARAMBE,238825,ADJA,129346,29917.0
NYIRAGONGO,635148,ADJA,129346,41742.0
OICHA,347253,ADJA,129346,26179.0
PINGA,156081,ADJA,129346,43312.0
RETHY,205135,ADJA,129346,16484.0
RIMBA,216446,ADJA,129346,16451.0
RUTSHURU,293634,ADJA,129346,39583.0
RWAMPARA,137286,ADJA,129346,20975.0
RWANGUBA,268948,ADJA,129346,40120.0
TCHOMIA,113035,ADJA,129346,55071.0
VUHOVI,125530,ADJA,129346,29761.0
WALIKALE,162523,ADJA,129346,57786.0
ADI,165627,ALIMBONGO,227787,43276.0
ADJA,129346,ALIMBONGO,227787,37453.0
ANGUMU,168048,ALIMBONGO,227787,30996.0
ARIWARA,206104,ALIMBONGO,227787,38630.0
ARU,185456,ALIMBONGO,227787,33970.0
AUNGBA,161978,ALIMBONGO,227787,31208.0
BAMBO,156395,ALIMBONGO,227787,12120.0
BAMBU-MINES,152322,ALIMBONGO,227787,20672.0
BENI,395029,ALIMBONGO,227787,9906.0
BIENA,122726,ALIMBONGO,227787,12014.0
BINZA,190494,ALIMBONGO,227787,13579.0
BIRAMBIZO,398438,ALIMBONGO,227787,13555.0
BIRINGI,125472,ALIMBONGO,227787,31356.0
BOGA,69412,ALIMBONGO,227787,16920.0
BUNIA,274563,ALIMBONGO,227787,18846.0
BUTEMBO,326616,ALIMBONGO,227787,7473.0
DAMAS,119532,ALIMBONGO,227787,25230.0
DRODRO,158491,ALIMBONGO,227787,24123.0
FATAKI,131340,ALIMBONGO,227787,23674.0
GETHY,191018,ALIMBONGO,227787,20349.0
GOMA,260035,ALIMBONGO,227787,14026.0
ITEBERO,183913,ALIMBONGO,227787,29669.0
JIBA,140335,ALIMBONGO,227787,25687.0
KALUNGUTA,206145,ALIMBONGO,227787,10260.0
KAMANGO,109141,ALIMBONGO,227787,13456.0
KAMBALA,126742,ALIMBONGO,227787,25388.0
KARISIMBI,518302,ALIMBONGO,227787,13601.0
KATWA,424920,ALIMBONGO,227787,7453.0
KAYNA,362851,ALIMBONGO,227787,9841.0
KIBIRIZI,331604,ALIMBONGO,227787,8739.0
KIBUA,104917,ALIMBONGO,227787,24281.0
KILO,57244,ALIMBONGO,227787,21921.0
KIROTSHE,452929,ALIMBONGO,227787,16409.0
KITOYI,22000,ALIMBONGO,227787,19986.0
KOMANDA,189251,ALIMBONGO,227787,13817.0
KYONDO,222254,ALIMBONGO,227787,10062.0
LAYBO,145111,ALIMBONGO,227787,40416.0
LINGA,151032,ALIMBONGO,227787,26640.0
LITA,131251,ALIMBONGO,227787,23100.0
LOGO,246325,ALIMBONGO,227787,26136.0
LOLWA,46878,ALIMBONGO,227787,20088.0
LUBERO,274996,ALIMBONGO,227787,6588.0
MABALAKO,192291,ALIMBONGO,227787,20789.0
MAHAGI,178740,ALIMBONGO,227787,32460.0
MAMBASA,98208,ALIMBONGO,227787,14343.0
MANDIMA,141513,ALIMBONGO,227787,30850.0
MANGALA,94886,ALIMBONGO,227787,28790.0
MANGUREDJIPA,74827,ALIMBONGO,227787,18090.0
MASEREKA,183527,ALIMBONGO,227787,8091.0
MASISI,423301,ALIMBONGO,227787,20851.0
MONGBWALU,136572,ALIMBONGO,227787,23738.0
MUSIENENE,257600,ALIMBONGO,227787,9894.0
MUTWANGA,256179,ALIMBONGO,227787,13606.0
MWESO,404625,ALIMBONGO,227787,15437.0
NIA-NIA,73073,ALIMBONGO,227787,28467.0
NIZI,145051,ALIMBONGO,227787,20951.0
NYANKUNDE,100299,ALIMBONGO,227787,24921.0
NYARAMBE,238825,ALIMBONGO,227787,42862.0
NYIRAGONGO,635148,ALIMBONGO,227787,12814.0
OICHA,347253,ALIMBONGO,227787,11274.0
PINGA,156081,ALIMBONGO,227787,13409.0
RETHY,205135,ALIMBONGO,227787,26295.0
RIMBA,216446,ALIMBONGO,227787,25882.0
RUTSHURU,293634,ALIMBONGO,227787,10655.0
RWAMPARA,137286,ALIMBONGO,227787,21993.0
RWANGUBA,268948,ALIMBONGO,227787,11192.0
TCHOMIA,113035,ALIMBONGO,227787,53673.0
VUHOVI,125530,ALIMBONGO,227787,7692.0
WALIKALE,162523,ALIMBONGO,227787,28858.0
ADI,165627,ANGUMU,168048,24839.0
ADJA,129346,ANGUMU,168048,20820.0
ALIMBONGO,227787,ANGUMU,168048,30996.0
ARIWARA,206104,ANGUMU,168048,20194.0
ARU,185456,ANGUMU,168048,16384.0
AUNGBA,161978,ANGUMU,168048,14625.0
BAMBO,156395,ANGUMU,168048,34592.0
BAMBU-MINES,152322,ANGUMU,168048,11988.0
BENI,395029,ANGUMU,168048,21209.0
BIENA,122726,ANGUMU,168048,27723.0
BINZA,190494,ANGUMU,168048,36051.0
BIRAMBIZO,398438,ANGUMU,168048,36027.0
BIRINGI,125472,ANGUMU,168048,20591.0
BOGA,69412,ANGUMU,168048,20811.0
BUNIA,274563,ANGUMU,168048,12151.0
BUTEMBO,326616,ANGUMU,168048,23523.0
DAMAS,119532,ANGUMU,168048,16547.0
DRODRO,158491,ANGUMU,168048,10620.0
FATAKI,131340,ANGUMU,168048,9814.0
GETHY,191018,ANGUMU,168048,16770.0
GOMA,260035,ANGUMU,168048,36497.0
ITEBERO,183913,ANGUMU,168048,52141.0
JIBA,140335,ANGUMU,168048,9057.0
KALUNGUTA,206145,ANGUMU,168048,21749.0
KAMANGO,109141,ANGUMU,168048,22765.0
KAMBALA,126742,ANGUMU,168048,10072.0
KARISIMBI,518302,ANGUMU,168048,36073.0
KATWA,424920,ANGUMU,168048,23543.0
KAYNA,362851,ANGUMU,168048,32312.0
KIBIRIZI,331604,ANGUMU,168048,31210.0
KIBUA,104917,ANGUMU,168048,46753.0
KILO,57244,ANGUMU,168048,13237.0
KIROTSHE,452929,ANGUMU,168048,38880.0
KITOYI,22000,ANGUMU,168048,42458.0
KOMANDA,189251,ANGUMU,168048,17179.0
KYONDO,222254,ANGUMU,168048,26381.0
LAYBO,145111,ANGUMU,168048,23144.0
LINGA,151032,ANGUMU,168048,7469.0
LITA,131251,ANGUMU,168048,15546.0
LOGO,246325,ANGUMU,168048,6685.0
LOLWA,46878,ANGUMU,168048,19879.0
LUBERO,274996,ANGUMU,168048,27269.0
MABALAKO,192291,ANGUMU,168048,32490.0
MAHAGI,178740,ANGUMU,168048,14498.0
MAMBASA,98208,ANGUMU,168048,22294.0
MANDIMA,141513,ANGUMU,168048,30641.0
MANGALA,94886,ANGUMU,168048,17688.0
MANGUREDJIPA,74827,ANGUMU,168048,33798.0
MASEREKA,183527,ANGUMU,168048,25991.0
MASISI,423301,ANGUMU,168048,43323.0
MONGBWALU,136572,ANGUMU,168048,15054.0
MUSIENENE,257600,ANGUMU,168048,27254.0
MUTWANGA,256179,ANGUMU,168048,24909.0
MWESO,404625,ANGUMU,168048,37909.0
NIA-NIA,73073,ANGUMU,168048,32353.0
NIZI,145051,ANGUMU,168048,12267.0
NYANKUNDE,100299,ANGUMU,168048,16237.0
NYARAMBE,238825,ANGUMU,168048,23471.0
NYIRAGONGO,635148,ANGUMU,168048,35285.0
OICHA,347253,ANGUMU,168048,19723.0
PINGA,156081,ANGUMU,168048,36855.0
RETHY,205135,ANGUMU,168048,6650.0
RIMBA,216446,ANGUMU,168048,9041.0
RUTSHURU,293634,ANGUMU,168048,33127.0
RWAMPARA,137286,ANGUMU,168048,14857.0
RWANGUBA,268948,ANGUMU,168048,33664.0
TCHOMIA,113035,ANGUMU,168048,34251.0
VUHOVI,125530,ANGUMU,168048,23304.0
WALIKALE,162523,ANGUMU,168048,51329.0
ADI,165627,ARIWARA,206104,4797.0
ADJA,129346,ARIWARA,206104,3953.0
ALIMBONGO,227787,ARIWARA,206104,38630.0
ANGUMU,168048,ARIWARA,206104,20194.0
ARU,185456,ARIWARA,206104,5657.0
AUNGBA,161978,ARIWARA,206104,8178.0
BAMBO,156395,ARIWARA,206104,42226.0
