,District_ID,0,1,2,3,4,5,6,7,8,District_Name,Total
392,HD_452,0,0,0,0,0,0,0,0,4,Tanganika:Kongolo,4
393,HD_453,0,0,0,0,0,0,0,0,4,Tanganika:Manono,4
394,HD_454,0,0,0,0,0,0,0,0,4,Tanganika:Mbulala,4
395,HD_455,0,0,0,0,0,0,0,6,12,Tanganika:Moba,18
396,HD_456,0,0,0,0,0,0,0,0,7,Tanganika:Nyemba,7
397,HD_457,0,0,0,0,0,0,0,0,3,Tanganika:Nyunzu,3
400,HD_46,0,0,0,0,0,0,0,0,3,Buta:Aketi,3
402,HD_461,0,0,0,0,0,0,0,0,4,Tshikapa:Kamwesha,4
404,HD_463,0,0,0,0,0,0,0,0,1,Tshikapa:Kitangwa,1
412,HD_470,0,0,0,0,0,0,0,0,3,Tshilenge:Kasansa,3
415,HD_473,0,0,0,0,0,0,0,0,1,Tshilenge:Tshilenge,1
420,HD_478,0,0,0,0,0,0,0,0,5,Tshopo Lindi:Banalia,5
424,HD_481,0,0,0,0,0,0,0,0,6,Tshopo Lindi:Opala,6
426,HD_483,0,0,0,0,0,0,0,0,1,Tshopo Lindi:Ubundu,1
431,HD_488,0,0,0,0,0,0,0,0,4,Tshopo Lomami:Isangi,4
432,HD_489,0,0,0,0,0,0,0,4,10,Tshopo Lomami:Yabaondo,14
433,HD_49,0,0,0,0,0,0,0,0,4,Buta:Buta,4
435,HD_491,0,0,0,0,0,0,0,0,5,Tshopo Lomami:Yahuma,5
439,HD_495,0,0,0,0,0,0,0,1,7,Tshuapa:Boende,8
442,HD_498,0,0,0,0,0,0,0,0,3,Tshuapa:Djolu,3
443,HD_499,0,0,0,0,0,0,0,0,4,Tshuapa:Ikela,4
444,HD_5,0,0,0,0,0,0,2,8,17,Aru:Aru,27
448,HD_502,0,0,0,0,0,0,0,0,4,Tshuapa:Mondombe,4
451,HD_505,0,0,0,0,0,0,0,0,2,Tshuapa:Yalifafu,2
458,HD_53,0,0,0,0,0,0,2,7,12,Butembo:Biena,21
459,HD_54,0,0,6,10,19,33,55,88,141,Butembo:Butembo,352
460,HD_55,0,0,5,10,18,33,54,87,140,Butembo:Katwa,347
461,HD_56,0,0,0,0,5,10,20,35,61,Butembo:Kayna,131
462,HD_57,0,0,0,0,0,5,10,20,35,Butembo:Lubero,70
463,HD_58,0,0,0,0,0,0,5,10,18,Butembo:Manguredjipa,33
464,HD_59,0,0,0,0,0,0,1,7,12,Butembo:Masereka,20
465,HD_6,0,0,0,0,0,0,0,7,14,Aru:Aungba,21
466,HD_60,0,0,0,0,0,7,11,20,35,Butembo:Musienene,73
476,HD_7,0,0,0,0,0,0,0,1,7,Aru:Biringi,8
478,HD_71,0,0,0,0,0,0,0,0,4,Dingila:Ango,4
479,HD_72,0,0,0,0,0,0,0,6,11,Dingila:Ganga,17
480,HD_73,0,0,0,0,0,0,0,5,11,Dingila:Poko,16
481,HD_74,0,0,0,0,0,0,0,0,3,Dingila:Viadana,3
482,HD_75,0,0,0,0,0,0,0,3,8,Djugu:Bambu,11
483,HD_76,0,0,0,0,0,0,0,2,8,Djugu:Damas,10
484,HD_77,0,0,0,0,0,0,5,11,22,Djugu:Drodro,38
485,HD_78,0,0,0,0,0,0,5,11,22,Djugu:Fataki,38
486,HD_79,0,0,0,0,0,0,0,0,7,Djugu:Jiba,7
487,HD_8,0,0,0,0,0,0,0,4,10,Aru:Kambala,14
489,HD_81,0,0,0,0,0,0,0,1,7,Djugu:Linga,8
490,HD_82,0,0,0,0,0,0,0,0,7,Djugu:Lita,7
491,HD_83,0,0,0,0,0,0,0,0,4,Djugu:Mangala,4
492,HD_84,0,0,0,0,0,0,0,7,12,Djugu:Mongbalu,19
493,HD_85,0,0,0,0,0,0,0,0,7,Djugu:Nizi,7
494,HD_86,0,0,0,0,0,0,3,8,18,Djugu:Rethy,29
498,HD_9,0,0,0,0,0,0,0,2,8,Aru:Laybo,10
499,HD_90,0,0,0,0,0,0,0,0,1,Equateur:Bolomba,1
