,District_ID,0,1,2,3,4,5,6,7,8,District_Name,Total
3,HD_101,0,0,0,0,0,0,0,0,1,Equateur:Motumbe,1
4,HD_102,0,0,0,0,0,0,0,0,5,Equateur:Ntondo,5
95,HD_185,0,0,0,0,0,0,0,0,1,Kikwit:Kikwit-Nord,1
102,HD_191,0,0,0,0,0,0,0,0,6,Kisangani:Makiso-Kisangani,6
215,HD_293,0,0,0,0,0,0,0,0,6,Mai-Ndombe:Kiri,6
241,HD_316,0,0,0,0,0,0,0,0,1,Masisi:Masisi,1
250,HD_324,0,0,0,0,7,12,24,41,72,Mbandaka:Wangata,156
272,HD_344,0,0,0,0,0,0,0,0,5,Mongala:Yamaluka,5
379,HD_440,0,0,0,0,0,0,0,0,2,Sud-Ubangi:Gemena,2
439,HD_495,0,0,0,0,0,0,0,2,7,Tshuapa:Boende,9
496,HD_88,0,0,0,0,0,0,0,0,3,Equateur:Basankusu,3
497,HD_89,14,7,7,8,14,19,26,36,51,Equateur:Bikoro,182
499,HD_90,0,0,0,0,0,0,0,0,7,Equateur:Bolomba,7
502,HD_93,0,0,0,0,0,0,0,5,8,Equateur:Iboko,13
503,HD_94,0,0,0,0,0,0,0,5,8,Equateur:Ingende,13
505,HD_96,0,0,0,0,0,6,11,20,36,Equateur:Lilanga Bobangi,73
