District_Name,District_ID,Population,Pop_X,Pop_Y,Geog_X,Geog_Y
Beni:Beni,HD_24,715316,29.38516167,0.503516314,29.3093,0.482477
Beni:Kyondo,HD_25,159795,29.53639101,-0.030111257,29.5385,0.00810002
Beni:Mutwanga,HD_26,205854,29.71590486,0.27843474,29.7508,0.345657
Beni:Oicha,HD_27,382738,29.57070016,0.703715658,29.6708,0.724744
Beni:Vuhovi,HD_28,36778,29.41968919,0.172873231,29.4778,0.210642
Boma:Boma,HD_29,210353,13.05164695,-5.830550136,13.0535,-5.81341
Boma:Boma Bungu,HD_30,39552,13.00013779,-5.707830635,12.9747,-5.74085
Boma:Kitona,HD_31,69781,12.42684591,-5.942417548,12.4429,-5.96906
Boma:Moanda,HD_32,195276,12.36822581,-5.873591006,12.4974,-5.85092
Bukavu:Bagira,HD_33,32300,28.85237599,-2.539693232,28.8358,-2.53305
Bukavu:Ibanda,HD_34,224629,28.84553164,-2.492904502,28.8491,-2.49296
Bukavu:Kadutu,HD_35,58488,28.84818304,-2.515926559,28.8281,-2.50561
Bunia:Boga,HD_36,38583,29.9673507,1.007095928,30.003,0.984456
Bunia:Bunia,HD_37,367941,30.24688226,1.567496263,30.2513,1.58628
Bunia:Gethy,HD_38,101865,30.19923065,1.284929264,30.1878,1.25774
Bunia:Komanda,HD_39,105001,29.66965147,1.177134114,29.643,1.13414
Bunia:Lolwa,HD_40,28854,29.57004873,1.599495812,29.4419,1.82982
Bunia:Mambasa,HD_41,102721,28.85424399,1.28727757,28.6997,1.44963
Bunia:Mandima,HD_42,64548,29.22026547,0.862427816,29.1938,0.911438
Bunia:Nia-Nia,HD_43,44009,27.77054191,1.451671115,27.9799,1.31274
Bunia:Nyakunde,HD_44,72871,29.95089815,1.468419346,29.9444,1.47609
Bunia:Rwampara,HD_45,74817,30.1545147,1.571542255,30.1368,1.5813
Buta:Aketi,HD_46,147385,23.60725167,2.710467559,23.7554,2.66689
Buta:Bili,HD_47,68794,24.72524083,4.324879908,24.6423,4.19652
Buta:Bondo,HD_48,108385,23.71493076,4.015187371,23.7343,4.09065
