	North Kivu Health Zones	projected	% Projected
0	MABALAKO	2.4746517835883424	3.5668105905555225
1	BENI	1.2651303519378416	1.8234809307925557
2	BUTEMBO	12.170756732637528	17.542178781250232
3	KATWA	49.310896476206835	71.07368759821424
4	KALUNGUTA	0.7651165757852141	1.1027918851528613
5	OICHA	3.3934087130473927	4.891050214034584
